Case_Number,Offense_Code,Offense_Type,Arrest,Location,Officer_id,Officer_Name,Date
BO206512,4,Drug abuse,Yes,Boston,264,Tamica Striegel,2002
BO143333,5,Assault,Yes,Boston,827,Timothy Iverson,2000
BO654715,2,Vandalism,Yes,Boston,414,Ronald Bryant,2004
BO405912,1,Larceny,No,Boston,287,Kathy Fry,2004
BO256488,3,Homicide,Yes,Boston,264,Tamica Striegel,2002
BO898378,5,Assault,No,Boston,820,Steven Hardeman,2000
BO994820,4,Drug abuse,Yes,Boston,976,Tyler Stringer,2004
BO628079,5,Assault,No,Boston,799,Jennie Hampton,2003
BO838025,5,Assault,Yes,Boston,287,Kathy Fry,2000
BO708444,2,Vandalism,No,Boston,976,Tyler Stringer,2003
BO870634,5,Assault,No,Boston,287,Kathy Fry,2003
BO955425,3,Homicide,Yes,Boston,976,Tyler Stringer,2004
BO949148,1,Larceny,No,Boston,976,Tyler Stringer,2001
BO389419,1,Larceny,No,Boston,287,Kathy Fry,2000
BO901035,5,Assault,No,Boston,820,Steven Hardeman,2003
BO588585,5,Assault,No,Boston,414,Ronald Bryant,2003
BO193638,4,Drug abuse,No,Boston,820,Steven Hardeman,2002
BO948442,5,Assault,No,Boston,827,Timothy Iverson,2001
BO542011,4,Drug abuse,No,Boston,820,Steven Hardeman,2001
BO905312,3,Homicide,Yes,Boston,976,Tyler Stringer,2004
BO739456,2,Vandalism,Yes,Boston,287,Kathy Fry,2002
BO529109,4,Drug abuse,Yes,Boston,827,Timothy Iverson,2004
BO159319,1,Larceny,No,Boston,264,Tamica Striegel,2000
BO319358,1,Larceny,Yes,Boston,976,Tyler Stringer,2001
BO857434,4,Drug abuse,Yes,Boston,287,Kathy Fry,2002
BO830872,5,Assault,Yes,Boston,976,Tyler Stringer,2000
BO285268,5,Assault,Yes,Boston,976,Tyler Stringer,2003
BO314112,3,Homicide,No,Boston,827,Timothy Iverson,2003
BO175606,2,Vandalism,Yes,Boston,264,Tamica Striegel,2003
BO294028,5,Assault,Yes,Boston,264,Tamica Striegel,2004
BO449424,1,Larceny,No,Boston,827,Timothy Iverson,2001
BO299158,1,Larceny,No,Boston,799,Jennie Hampton,2004
BO368320,5,Assault,No,Boston,117,Alyssa Haycraft,2003
BO298525,4,Drug abuse,Yes,Boston,976,Tyler Stringer,2003
BO181495,2,Vandalism,Yes,Boston,264,Tamica Striegel,2000
BO211152,2,Vandalism,No,Boston,414,Ronald Bryant,2002
BO880267,1,Larceny,No,Boston,827,Timothy Iverson,2000
BO228714,2,Vandalism,Yes,Boston,820,Steven Hardeman,2002
BO517459,1,Larceny,No,Boston,827,Timothy Iverson,2003
BO508352,3,Homicide,No,Boston,976,Tyler Stringer,2002
BO438304,5,Assault,Yes,Boston,117,Alyssa Haycraft,2003
BO501810,3,Homicide,No,Boston,827,Timothy Iverson,2004
BO901035,5,Assault,No,Boston,117,Alyssa Haycraft,2004
BO119975,1,Larceny,Yes,Boston,799,Jennie Hampton,2001
BO126357,1,Larceny,No,Boston,264,Tamica Striegel,2003
BO602898,2,Vandalism,No,Boston,117,Alyssa Haycraft,2001
BO403159,5,Assault,No,Boston,117,Alyssa Haycraft,2004
BO754179,1,Larceny,No,Boston,264,Tamica Striegel,2004
BO573163,3,Homicide,No,Boston,820,Steven Hardeman,2004
BO350311,3,Homicide,Yes,Boston,287,Kathy Fry,2003
BO403802,1,Larceny,Yes,Boston,287,Kathy Fry,2003
BO266030,1,Larceny,No,Boston,414,Ronald Bryant,2004
BO414519,3,Homicide,Yes,Boston,827,Timothy Iverson,2004
BO541149,5,Assault,No,Boston,414,Ronald Bryant,2004
BO628079,1,Larceny,Yes,Boston,117,Alyssa Haycraft,2001
BO340098,5,Assault,Yes,Boston,799,Jennie Hampton,2001
BO595514,3,Homicide,No,Boston,287,Kathy Fry,2004
BO851288,3,Homicide,No,Boston,414,Ronald Bryant,2004
BO872698,1,Larceny,Yes,Boston,820,Steven Hardeman,2004
BO725775,2,Vandalism,Yes,Boston,117,Alyssa Haycraft,2004
BO677907,1,Larceny,No,Boston,117,Alyssa Haycraft,2000
BO603479,3,Homicide,No,Boston,976,Tyler Stringer,2001
BO542164,5,Assault,No,Boston,976,Tyler Stringer,2001
BO807632,2,Vandalism,No,Boston,799,Jennie Hampton,2003
BO226654,5,Assault,No,Boston,287,Kathy Fry,2003
BO227520,2,Vandalism,Yes,Boston,264,Tamica Striegel,2004
BO319681,5,Assault,Yes,Boston,820,Steven Hardeman,2001
BO285135,5,Assault,No,Boston,820,Steven Hardeman,2004
BO620294,4,Drug abuse,Yes,Boston,820,Steven Hardeman,2003
BO596509,3,Homicide,No,Boston,827,Timothy Iverson,2001
BO528421,3,Homicide,No,Boston,287,Kathy Fry,2002
BO542011,5,Assault,Yes,Boston,287,Kathy Fry,2004
BO857571,5,Assault,Yes,Boston,820,Steven Hardeman,2004
BO591697,3,Homicide,Yes,Boston,976,Tyler Stringer,2001
BO794884,2,Vandalism,No,Boston,264,Tamica Striegel,2001
BO299487,5,Assault,No,Boston,414,Ronald Bryant,2004
BO171872,1,Larceny,Yes,Boston,414,Ronald Bryant,2003
BO408990,1,Larceny,No,Boston,827,Timothy Iverson,2000
BO877559,3,Homicide,Yes,Boston,414,Ronald Bryant,2001
BO174179,1,Larceny,Yes,Boston,820,Steven Hardeman,2000
BO121973,3,Homicide,No,Boston,287,Kathy Fry,2002
BO675610,2,Vandalism,No,Boston,820,Steven Hardeman,2000
BO626039,5,Assault,No,Boston,976,Tyler Stringer,2000
BO767283,5,Assault,Yes,Boston,827,Timothy Iverson,2003
BO588405,3,Homicide,No,Boston,287,Kathy Fry,2002
BO531670,2,Vandalism,Yes,Boston,414,Ronald Bryant,2003
BO627507,2,Vandalism,Yes,Boston,827,Timothy Iverson,2004
