Case_Number,Offense_Code,Offense_Type,Arrest,Location,Officer_id,Officer_Name,Date
NY651488,4,Drug abuse,Yes,New York,105,Mitzi Fowler,2002
NY339195,5,Assault,No,New York,648,Julian Gibson,2002
NY852937,4,Drug abuse,No,New York,255,Rogelio Fett,2002
NY415467,1,Larceny,Yes,New York,648,Julian Gibson,2001
NY218985,5,Assault,No,New York,255,Rogelio Fett,2001
NY592685,2,Vandalism,No,New York,648,Julian Gibson,2001
NY779620,3,Homicide,No,New York,105,Mitzi Fowler,2000
NY437317,5,Assault,Yes,New York,313,Kenneth Nance,2004
NY734019,4,Drug abuse,Yes,New York,628,Valerie Eskew,2002
NY451394,2,Vandalism,No,New York,982,Beatrice Frappier,2004
NY391183,2,Vandalism,Yes,New York,105,Mitzi Fowler,2002
NY961655,2,Vandalism,No,New York,313,Kenneth Nance,2000
NY742689,2,Vandalism,Yes,New York,255,Rogelio Fett,2001
NY258528,2,Vandalism,Yes,New York,313,Kenneth Nance,2000
NY176623,4,Drug abuse,Yes,New York,628,Valerie Eskew,2003
NY710428,4,Drug abuse,No,New York,982,Beatrice Frappier,2004
NY418947,1,Larceny,Yes,New York,628,Valerie Eskew,2004
NY233249,1,Larceny,No,New York,982,Beatrice Frappier,2002
NY621182,2,Vandalism,No,New York,648,Julian Gibson,2001
NY897323,4,Drug abuse,Yes,New York,255,Rogelio Fett,2000
NY133065,2,Vandalism,Yes,New York,105,Mitzi Fowler,2002
NY338368,4,Drug abuse,No,New York,982,Beatrice Frappier,2002
NY259933,1,Larceny,No,New York,313,Kenneth Nance,2002
NY814487,5,Assault,Yes,New York,105,Mitzi Fowler,2000
NY220819,4,Drug abuse,Yes,New York,255,Rogelio Fett,2000
NY615991,2,Vandalism,No,New York,641,Gregory Kocher,2001
NY150860,2,Vandalism,Yes,New York,597,Nancy Smith,2003
NY903891,2,Vandalism,Yes,New York,597,Nancy Smith,2003
NY488144,2,Vandalism,No,New York,648,Julian Gibson,2001
NY468412,2,Vandalism,Yes,New York,628,Valerie Eskew,2000
NY839241,2,Vandalism,No,New York,982,Beatrice Frappier,2003
NY804027,2,Vandalism,No,New York,982,Beatrice Frappier,2004
NY335660,1,Larceny,Yes,New York,648,Julian Gibson,2000
NY902563,2,Vandalism,No,New York,597,Nancy Smith,2002
NY908339,1,Larceny,Yes,New York,641,Gregory Kocher,2001
NY735026,4,Drug abuse,Yes,New York,648,Julian Gibson,2003
NY515183,1,Larceny,No,New York,597,Nancy Smith,2004
NY746184,2,Vandalism,No,New York,255,Rogelio Fett,2000
NY764885,2,Vandalism,No,New York,255,Rogelio Fett,2000
NY933322,1,Larceny,No,New York,982,Beatrice Frappier,2003
NY663539,2,Vandalism,Yes,New York,255,Rogelio Fett,2003
NY461957,2,Vandalism,Yes,New York,313,Kenneth Nance,2004
NY621085,5,Assault,No,New York,313,Kenneth Nance,2002
NY171433,2,Vandalism,Yes,New York,982,Beatrice Frappier,2001
NY204116,2,Vandalism,No,New York,105,Mitzi Fowler,2004
NY722887,1,Larceny,No,New York,313,Kenneth Nance,2001
NY485593,1,Larceny,Yes,New York,648,Julian Gibson,2002
NY745998,5,Assault,No,New York,982,Beatrice Frappier,2003
NY245439,1,Larceny,Yes,New York,255,Rogelio Fett,2000
NY704441,5,Assault,No,New York,648,Julian Gibson,2004
NY504902,4,Drug abuse,Yes,New York,982,Beatrice Frappier,2004
NY691903,1,Larceny,No,New York,255,Rogelio Fett,2002
NY126904,4,Drug abuse,Yes,New York,982,Beatrice Frappier,2001
NY124521,4,Drug abuse,No,New York,255,Rogelio Fett,2002
NY372821,1,Larceny,No,New York,641,Gregory Kocher,2001
