Case_Number,Offense_Code,Offense_Type,Arrest,Location,Officer_id,Officer_Name,Date
SF665085,2,Vandalism,Yes,San Francisco,891,Edward Denton,2000
SF958010,1,Larceny,No,San Francisco,291,Roy Romero,2003
SF117151,4,Drug abuse,Yes,San Francisco,291,Roy Romero,2001
SF788381,3,Homicide,No,San Francisco,140,Charles Ortega,2000
SF829497,5,Assault,No,San Francisco,216,Charles Pitts,2001
SF378283,1,Larceny,Yes,San Francisco,140,Charles Ortega,2003
SF762590,1,Larceny,No,San Francisco,216,Charles Pitts,2001
SF966442,5,Assault,No,San Francisco,167,Adele Peters,2000
SF366866,5,Assault,Yes,San Francisco,848,Joseph Costello,2003
SF506514,4,Drug abuse,No,San Francisco,130,David Graham,2002
SF147368,4,Drug abuse,Yes,San Francisco,891,Edward Denton,2000
SF566571,5,Assault,No,San Francisco,140,Charles Ortega,2004
SF316023,1,Larceny,Yes,San Francisco,447,Sherell Reine,2003
SF838326,1,Larceny,Yes,San Francisco,891,Edward Denton,2004
SF883570,2,Vandalism,Yes,San Francisco,447,Sherell Reine,2000
SF792367,1,Larceny,No,San Francisco,167,Adele Peters,2000
SF482697,2,Vandalism,No,San Francisco,167,Adele Peters,2004
SF413953,1,Larceny,No,San Francisco,140,Charles Ortega,2004
SF460825,2,Vandalism,No,San Francisco,291,Roy Romero,2002
SF808501,3,Homicide,No,San Francisco,216,Charles Pitts,2002
SF852108,4,Drug abuse,Yes,San Francisco,891,Edward Denton,2000
SF676364,1,Larceny,No,San Francisco,848,Joseph Costello,2000
SF299842,2,Vandalism,Yes,San Francisco,291,Roy Romero,2002
SF366193,1,Larceny,Yes,San Francisco,447,Sherell Reine,2003
SF298980,1,Larceny,No,San Francisco,447,Sherell Reine,2002
SF422222,1,Larceny,No,San Francisco,848,Joseph Costello,2002
SF132636,4,Drug abuse,Yes,San Francisco,447,Sherell Reine,2004
SF618109,3,Homicide,No,San Francisco,130,David Graham,2001
SF428010,1,Larceny,Yes,San Francisco,140,Charles Ortega,2004
SF122406,3,Homicide,Yes,San Francisco,130,David Graham,2002
SF317213,5,Assault,No,San Francisco,216,Charles Pitts,2004
SF213287,1,Larceny,No,San Francisco,291,Roy Romero,2002
SF762590,4,Drug abuse,No,San Francisco,130,David Graham,2002
SF459110,3,Homicide,No,San Francisco,167,Adele Peters,2002
SF697217,2,Vandalism,Yes,San Francisco,891,Edward Denton,2001
SF521408,2,Vandalism,Yes,San Francisco,848,Joseph Costello,2003
SF973980,1,Larceny,No,San Francisco,291,Roy Romero,2003
SF513339,1,Larceny,No,San Francisco,130,David Graham,2002
SF797758,1,Larceny,Yes,San Francisco,167,Adele Peters,2003
SF503050,5,Assault,No,San Francisco,167,Adele Peters,2001
SF925975,5,Assault,Yes,San Francisco,140,Charles Ortega,2001
SF164636,5,Assault,Yes,San Francisco,140,Charles Ortega,2003
SF219711,5,Assault,No,San Francisco,140,Charles Ortega,2000
SF629395,5,Assault,No,San Francisco,848,Joseph Costello,2003
SF652834,4,Drug abuse,Yes,San Francisco,140,Charles Ortega,2001
SF162087,1,Larceny,Yes,San Francisco,891,Edward Denton,2002
SF815645,3,Homicide,Yes,San Francisco,891,Edward Denton,2001
SF317957,3,Homicide,Yes,San Francisco,447,Sherell Reine,2000
SF521688,1,Larceny,Yes,San Francisco,130,David Graham,2000
SF239132,1,Larceny,No,San Francisco,891,Edward Denton,2003
SF718470,1,Larceny,Yes,San Francisco,140,Charles Ortega,2001
SF576736,4,Drug abuse,Yes,San Francisco,848,Joseph Costello,2003
SF854395,5,Assault,Yes,San Francisco,216,Charles Pitts,2003
SF228348,5,Assault,Yes,San Francisco,216,Charles Pitts,2003
SF153474,1,Larceny,Yes,San Francisco,140,Charles Ortega,2002
SF657631,1,Larceny,Yes,San Francisco,167,Adele Peters,2000
SF671618,1,Larceny,No,San Francisco,130,David Graham,2000
SF854395,1,Larceny,Yes,San Francisco,140,Charles Ortega,2000
SF376283,1,Larceny,Yes,San Francisco,891,Edward Denton,2004
SF372555,1,Larceny,No,San Francisco,167,Adele Peters,2003
SF566571,2,Vandalism,Yes,San Francisco,848,Joseph Costello,2001
SF392051,4,Drug abuse,Yes,San Francisco,167,Adele Peters,2003
SF239132,5,Assault,No,San Francisco,447,Sherell Reine,2002
SF515294,1,Larceny,Yes,San Francisco,891,Edward Denton,2004
SF468888,1,Larceny,Yes,San Francisco,848,Joseph Costello,2003
SF515863,1,Larceny,Yes,San Francisco,447,Sherell Reine,2003
SF687674,3,Homicide,No,San Francisco,447,Sherell Reine,2002
SF705936,4,Drug abuse,Yes,San Francisco,447,Sherell Reine,2004
SF177419,1,Larceny,No,San Francisco,291,Roy Romero,2000
SF887788,2,Vandalism,No,San Francisco,130,David Graham,2001
SF262711,4,Drug abuse,Yes,San Francisco,216,Charles Pitts,2000
SF391614,5,Assault,Yes,San Francisco,891,Edward Denton,2001
SF281562,5,Assault,Yes,San Francisco,130,David Graham,2000
SF376070,1,Larceny,No,San Francisco,848,Joseph Costello,2003
SF883862,2,Vandalism,Yes,San Francisco,167,Adele Peters,2001
SF139762,3,Homicide,Yes,San Francisco,891,Edward Denton,2004
SF300319,1,Larceny,No,San Francisco,848,Joseph Costello,2004
SF781146,5,Assault,No,San Francisco,291,Roy Romero,2003
SF708114,2,Vandalism,Yes,San Francisco,130,David Graham,2004
