Case_Number,Offense_Code,Offense_Type,Arrest,Location,Officer_id,Officer_Name,Date
BO434115,1,Larceny,Yes,Boston,414,Ronald Bryant,2001
BO198087,2,Vandalism,Yes,Boston,287,Kathy Fry,2001
CH334297,1,Larceny,No,Chicago,298,Barry Goetz,2002
NY263145,4,Drug abuse,No,New York,255,Rogelio Fett,2003
CH839983,3,Homicide,Yes,Chicago,646,John Ledue,2002
NY306160,2,Vandalism,No,New York,641,Gregory Kocher,2001
NY662893,2,Vandalism,Yes,New York,982,Beatrice Frappier,2000
SF620501,4,Drug abuse,Yes,San Francisco,848,Joseph Costello,2004
CH323519,1,Larceny,Yes,Chicago,646,John Ledue,2004
BO898932,5,Assault,Yes,Boston,827,Timothy Iverson,2002
NY964289,2,Vandalism,Yes,New York,105,Mitzi Fowler,2001
NY121880,1,Larceny,No,New York,255,Rogelio Fett,2000
BO127579,1,Larceny,No,Boston,976,Tyler Stringer,2000
SF219711,2,Vandalism,Yes,San Francisco,130,David Graham,2001
NY517743,2,Vandalism,No,New York,982,Beatrice Frappier,2001
BO143925,3,Homicide,No,Boston,827,Timothy Iverson,2003
SF878691,5,Assault,No,San Francisco,167,Adele Peters,2000
BO314112,3,Homicide,No,Boston,827,Timothy Iverson,2003
CH341061,3,Homicide,No,Chicago,298,Barry Goetz,2002
NY524003,2,Vandalism,Yes,New York,982,Beatrice Frappier,2001
CH358495,4,Drug abuse,No,Chicago,298,Barry Goetz,2000
NY429013,2,Vandalism,No,New York,597,Nancy Smith,2002
NY592655,5,Assault,No,New York,628,Valerie Eskew,2004
NY344591,4,Drug abuse,No,New York,105,Mitzi Fowler,2001
NY479158,5,Assault,Yes,New York,648,Julian Gibson,2002
BO361192,3,Homicide,No,Boston,117,Alyssa Haycraft,2003
SF691982,4,Drug abuse,No,San Francisco,167,Adele Peters,2001
NY749787,4,Drug abuse,Yes,New York,648,Julian Gibson,2003
SF433396,2,Vandalism,Yes,San Francisco,167,Adele Peters,2002
NY779620,4,Drug abuse,Yes,New York,982,Beatrice Frappier,2003
CH970689,3,Homicide,Yes,Chicago,443,Mildred Shuey,2000
CH707495,3,Homicide,Yes,Chicago,639,Joshua Compton,2001
NY990665,1,Larceny,No,New York,628,Valerie Eskew,2003
BO107141,1,Larceny,Yes,Boston,820,Steven Hardeman,2002
SF801268,1,Larceny,Yes,San Francisco,291,Roy Romero,2003
BO156269,1,Larceny,No,Boston,414,Ronald Bryant,2001
BO871130,3,Homicide,Yes,Boston,287,Kathy Fry,2000
NY714914,5,Assault,Yes,New York,628,Valerie Eskew,2002
SF797343,4,Drug abuse,Yes,San Francisco,447,Sherell Reine,2001
CH978554,1,Larceny,Yes,Chicago,783,Peter Palmieri,2000
SF497371,2,Vandalism,No,San Francisco,891,Edward Denton,2001
NY152001,4,Drug abuse,No,New York,255,Rogelio Fett,2000
BO347686,5,Assault,Yes,Boston,414,Ronald Bryant,2004
NY431560,1,Larceny,No,New York,105,Mitzi Fowler,2001
SF147349,1,Larceny,No,San Francisco,447,Sherell Reine,2001
BO868633,2,Vandalism,No,Boston,827,Timothy Iverson,2004
NY322106,2,Vandalism,No,New York,648,Julian Gibson,2003
NY530413,1,Larceny,No,New York,628,Valerie Eskew,2003
CH309646,3,Homicide,Yes,Chicago,783,Peter Palmieri,2004
BO174179,1,Larceny,Yes,Boston,820,Steven Hardeman,2000
NY651488,4,Drug abuse,Yes,New York,105,Mitzi Fowler,2002
CH427101,1,Larceny,Yes,Chicago,169,Georgia Jones,2001
SF879456,5,Assault,Yes,San Francisco,291,Roy Romero,2000
